Position,Name,Nation,Points,Captain,Gameweek
Prop,P. Schoeman,Scotland,68.00,No,GW_All
Prop,R. Carre,Wales,115.00,No,GW_All
Hooker,D. Lake,Wales,110.00,No,GW_All
Second Row,O. Chessum,England,124.00,No,GW_All
Second Row,T. Beirne,Ireland,152.00,No,GW_All
Back Row,A. Wainwright,Wales,172.00,No,GW_All
Back Row,C. Doris,Ireland,194.00,No,GW_All
Back Row,R. Darge,Scotland,176.00,No,GW_All
Scrum Half,A. Dupont,France,155.00,No,GW_All
Fly Half,M. Jalibert,France,197.00,No,GW_All
Centre,S. McCloskey,Ireland,170.00,No,GW_All
Centre,T. Menoncello,Italy,184.00,No,GW_All
Back Three,K. Steyn,Scotland,175.00,No,GW_All
Back Three,L. Bielle-Biarrey,France,468.00,Yes,GW_All
Back Three,T. Ramos,France,225.00,No,GW_All
