Assists,Attacking scrum win,Breakdown steal,Club,Conceded penalty,Conversion,Defenders beaten,Drop goal,ID,Kick 50-22,Kicks recovered,Lineout steal,Man of the match,Metres carried,Minutes played,Name,Offloads,Penalty,Position,Position Name,Pts,Red cards ,Tackles,Try,Yellow cards,gameweek
,7,,France,,,3,,244767,,,,,17,80,O. Jegou,1,,10,Back Row,31.0,,15,,,1
,7,,France,,,1,,175065,,,,,5,80,A. Jelonch,2,,10,Back Row,30.0,,17,,,1
,6,1,Italy,1,,4,,197335,,,,,50,80,L. Cannone,1,,10,Back Row,44.0,,19,,,1
,6,,Italy,1,,,,208272,,,,,4,80,N. Cannone,,,11,Second Row,31.0,,26,,,1
,5,,England,1,,3,,209612,,,,,69,80,B. Earl,1,,10,Back Row,50.0,,17,1,,1
,5,,Scotland,,,4,,113000,,,,,46,80,J. Dempsey,,,10,Back Row,40.0,,8,1,,1
,5,,England,1,,2,,112684,,,1,,11,80,G. Pepper,1,,10,Back Row,32.0,,14,,,1
,5,,England,1,,,,144635,,,1,,41,80,O. Chessum,1,,11,Second Row,30.0,,13,,,1
,5,,France,,,,,111408,,,,,7,62,F. Cros,,,10,Back Row,10.0,,5,,,1
1,4,,France,,,3,,177800,,,,1,43,50,M. Guillard,1,,11,Second Row,42.0,,7,,,1
1,4,3,Ireland,,,,,147486,,,,,12,80,T. Beirne,,,11,Second Row,39.0,,15,,,1
1,4,,Italy,1,,,,120191,,,2,,1,69,M. Lamaro,,,10,Back Row,37.0,,16,,,1
,4,1,Ireland,,,3,,167132,,,,,29,80,C. Doris,1,,10,Back Row,34.0,,15,,,1
,4,,Italy,2,,2,,161390,,,1,,4,66,M. Zuliani,,,10,Back Row,32.0,,19,,,1
,4,,Italy,,,,,128750,,,1,,2,69,A. Zambonin,,,11,Second Row,30.0,,19,,,1
,4,,France,,,,,198942,,,,,22,50,C. Ollivon,,,10,Back Row,23.0,,2,1,,1
,4,2,Scotland,,,1,,187820,,,,,3,76,R. Darge,1,,10,Back Row,22.0,,4,,,1
,4,,England,,,,,173801,,,1,,10,50,A. Coles,,,11,Second Row,22.0,,10,,,1
,4,,Ireland,1,,,,174268,,,,,,59,J. Loughman,,,12,Prop,14.0,,11,,,1
,4,,Ireland,,,2,,211240,,,,,12,62,D. Sheehan,,,13,Hooker,13.0,,4,,,1
,4,,Italy,,,1,,174208,,,,,3,25,R. Favretto,,,11,Second Row,13.0,,7,,,1
,4,,France,,,1,,150335,,,,,4,50,J. Marchand,,,13,Hooker,12.0,,6,,,1
,4,,England,,,,,160801,,,,,1,50,J. George,,,13,Hooker,12.0,,8,,,1
,4,,Italy,1,,,,236602,,,,,5,21,T. di Bartolomeo,,,13,Hooker,12.0,,9,,,1
,4,,England,1,,,,104322,,,,,,50,S. Underhill,,,10,Back Row,10.0,,7,,,1
,4,,France,,,,,104627,,,,,4,50,J. Gros,,,12,Prop,9.0,,5,,,1
,4,,England,,,,,134796,,,,,,50,J. Heyes,,,12,Prop,9.0,,5,,,1
,4,,Ireland,1,,,,196853,,,,,2,59,T. Clarkson,,,12,Prop,8.0,,5,,,1
,4,,Italy,2,,,,172284,,,,,1,21,M. Hasa,,,12,Prop,7.0,,5,,,1
,4,,France,1,,1,,158534,,,,,,50,D. Aldegheri,,,12,Prop,6.0,,1,,,1
,4,,Italy,,,,,237231,,,,,,21,M. Spagnolo,,,12,Prop,5.0,,1,,,1
,3,,Wales,1,,5,,119132,,,,,33,80,A. Wainwright,,,10,Back Row,24.0,,9,,,1
,3,1,France,,,,,117303,,,,,4,30,P. Mauvaka,1,,13,Hooker,20.0,,10,,,1
,3,,France,,,,,239229,,,1,,17,30,H. Auradou,,,11,Second Row,18.0,,7,,,1
,3,,Wales,3,,,,237272,,,,,3,80,D. Jenkins,,,11,Second Row,14.0,,14,,,1
,3,,France,1,,,,134112,,,,,,30,E. Meafou,1,,11,Second Row,11.0,,7,,,1
,3,,England,2,,1,,165007,,,,,6,40,E. Genge,,,12,Prop,11.0,,8,,,1
,3,,France,,,,,175146,,,,,,30,R. Neti,,,12,Prop,5.0,,2,,,1
,3,,Scotland,,,,,236957,,,,,5,16,M. Williamson,,,11,Second Row,3.0,,,,,1
,3,,Scotland,1,,,,218848,,,,,8,21,G. Turner,,,13,Hooker,-2.0,,1,,1,1
,2,1,Ireland,,,2,,193134,,,,,38,30,N. Timoney,,,10,Back Row,33.0,,4,1,,1
,2,,Italy,,,,,118165,,,,,4,59,G. Nicotera,1,,13,Hooker,20.0,,16,,,1
,2,,Italy,4,,2,,123723,,,,,13,59,D. Fischetti,,,12,Prop,19.0,,16,,,1
,2,1,Wales,1,,,,124858,,,,,18,52,J. Macleod,,,10,Back Row,18.0,,11,,,1
1,2,,Scotland,1,,1,,159599,,,,,14,64,M. Fagerson,,,10,Back Row,17.0,,9,,,1
,2,,England,,,1,,158302,,,,,14,40,B. Rodd,1,,12,Prop,17.0,,10,,,1
,2,,France,1,,1,,244170,,,,,23,18,L. Nouchi,,,10,Back Row,17.0,,12,,,1
,2,,Ireland,,,,,198565,,,,,3,50,C. Prendergast,,,10,Back Row,15.0,,13,,,1
,2,,Ireland,,,,,126800,,,,,15,50,J. van der Flier,,,10,Back Row,14.0,,11,,,1
,2,,Scotland,1,,1,,141860,,,,,13,53,E. Ashman,1,,13,Hooker,14.0,,8,,,1
,2,,Wales,,,,,105892,,,,,11,69,A. Beard,1,,11,Second Row,14.0,,9,,,1
,2,,Wales,1,,1,,187169,,,,,,50,A. Griffin,,,12,Prop,14.0,,11,,,1
,2,,Scotland,2,,1,,196669,,,,,11,64,Z. Fagerson,,,12,Prop,13.0,,10,,,1
,2,,Ireland,1,,1,,223413,,,,,2,50,J. McCarthy,,,11,Second Row,12.0,,9,,,1
,2,,Scotland,1,,1,,196773,,,,,5,57,P. Schoeman,,,12,Prop,10.0,,7,,,1
,2,,Ireland,,,1,,203381,,,,,7,30,J. Ryan,,,11,Second Row,9.0,,5,,,1
,2,,Italy,1,,,,103440,,,,,,11,F. Ruzza,,,11,Second Row,8.0,,7,,,1
,2,,Ireland,,,1,,105748,,,,,7,30,J. Conan,,,10,Back Row,5.0,,1,,,1
,2,,Wales,1,,1,,119955,,,,,1,40,R. Carre,,,12,Prop,4.0,,1,,,1
,2,,Wales,,,,,137071,,,,,,24,L. Belcher,,,13,Hooker,4.0,,2,,,1
,1,,England,,,10,,156918,,,,,106,80,T. Freeman,1,,6,Back Three,50.0,,8,1,,1
,1,,Wales,,,1,,235183,,,,,3,40,A. Mann,,,10,Back Row,13.0,,10,,,1
,1,,Wales,1,,,,237266,,,,,26,28,H. Deaves,,,10,Back Row,13.0,,11,,,1
,1,,Wales,1,,,,212902,,,,,12,56,D. Lake,,,13,Hooker,6.0,,10,,1,1
,1,,England,,,,,102707,,,,,7,30,T. Davison,,,12,Prop,6.0,,5,,,1
1,1,,England,1,,,,106142,,,,,7,30,L. Cowan-Dickie,,,13,Hooker,5.0,,1,,,1
,1,,Wales,,,,,175275,,,,,,30,T. Francis,,,12,Prop,5.0,,4,,,1
,1,,Wales,,,,,144545,,,,,,11,B. Carter,,,11,Second Row,3.0,,2,,,1
,1,,Scotland,2,,,,156101,,,,,2,49,G. Gilchrist,,,11,Second Row,3.0,,4,,,1
,1,,England,1,,,,222623,,,,,,26,T. Curry,,,10,Back Row,-1.0,,4,,1,1
,1,,Wales,2,,,,110319,,,,,,39,N. Smith,,,12,Prop,-3.0,,3,,1,1
2,,,England,,4,2,,102642,,2,,1,82,80,G. Ford,,1,8,Fly Half,55.0,,5,,,1
1,,,France,,,5,,190344,,1,,,73,80,M. Jalibert,4,,8,Fly Half,52.0,,11,1,,1
,,,France,,,5,,237223,,2,,,99,80,L. Bielle-Biarrey,,,6,Back Three,51.0,,8,2,,1
1,,,France,,4,6,,175123,,1,,,116,80,T. Ramos,3,1,6,Back Three,46.0,,,,,1
,,,England,,,2,,161516,,1,,,61,80,H. Arundell,,,6,Back Three,46.0,,4,3,,1
,,,Italy,,,4,,229557,,,,,103,80,T. Menoncello,,,7,Centre,34.0,,6,1,,1
,,,France,,,2,,244532,,,,,45,80,T. Attissogbe,3,,6,Back Three,32.0,,8,1,,1
,,,Ireland,1,2,3,,241698,,2,,,23,80,S. Prendergast,2,,8,Fly Half,32.0,,13,,,1
1,,,France,1,,3,,137493,,5,,,35,74,A. Dupont,1,,9,Scrum Half,30.0,,6,,,1
1,,,Ireland,,,3,,172351,,,,,30,80,S. McCloskey,2,,7,Centre,27.0,,10,,,1
,,,Scotland,,,2,,188057,,7,,,4,64,B. White,2,,9,Scrum Half,26.0,,4,,,1
,,,Wales,1,,5,,120767,,,,,87,80,L. Rees-Zammit,,,6,Back Three,21.0,,4,,,1
,,,Ireland,1,,1,,229826,1,2,,,68,73,J. Osborne,,,6,Back Three,21.0,,3,,,1
,,,Wales,,,,,133163,,5,,,13,79,T. Williams,,,9,Scrum Half,20.0,,9,,,1
1,,,Italy,1,,1,,130487,,1,,,5,80,N. Brex,,,7,Centre,20.0,,13,,,1
,,,Wales,,,1,,137453,,,,,25,80,J. Adams,,,6,Back Three,20.0,,6,1,,1
2,,,England,1,,,,200195,,1,,,21,80,F. Dingwall,2,,7,Centre,20.0,,5,,,1
,,,Ireland,,,,,198451,,,,,4,21,M. Milne,,,12,Prop,18.0,,3,1,,1
1,,,Wales,,1,,,240455,,1,,,24,80,D. Edwards,,,8,Fly Half,17.0,,7,,,1
,,,Italy,,,1,,174318,,,,,48,80,M. Ioane,2,,6,Back Three,17.0,,7,,,1
,,,Italy,1,,,,209105,,,,,12,80,L. Lynagh,,,6,Back Three,17.0,,7,1,,1
,,,England,1,,2,,149322,,,,,17,65,T. Roebuck,,,6,Back Three,17.0,,3,1,,1
1,,,England,,,3,,150081,,,,,28,65,F. Steward,1,,6,Back Three,16.0,,2,,,1
,,,Italy,1,1,1,,156253,,,,,9,80,P. Garbisi,,2,8,Fly Half,15.0,,6,,,1
1,,,France,,,1,,222388,,,,,22,50,Y. Moefana,2,,7,Centre,15.0,,3,,,1
,,,Scotland,,,1,,224905,,1,,,4,16,G. Horne,,,9,Scrum Half,15.0,,1,1,,1
,,,Scotland,,1,,,157863,,,,,16,80,F. Russell,1,1,8,Fly Half,14.0,,6,,,1
,,,Ireland,,,3,,122020,,,,,33,80,J. Stockdale,,,6,Back Three,13.0,,4,,,1
,,,Scotland,,,3,,110170,,,,,8,80,K. Steyn,,,6,Back Three,12.0,,6,,,1
,,,Ireland,,,1,,216173,,3,,,4,80,J. Gibson-Park,,,9,Scrum Half,12.0,,4,,,1
,,,Ireland,,,2,,219828,,,,,34,80,G. Ringrose,1,,7,Centre,12.0,,3,,,1
,,,Scotland,1,,3,,146480,,,,,15,80,S. Tuipulotu,,,7,Centre,11.0,,5,,,1
,,,Italy,,,,,134407,,3,,,,61,A. Fusco,,,9,Scrum Half,11.0,,5,,,1
,,1,Wales,,,,,237271,,,,,19,69,E. James,,,7,Centre,11.0,,5,,,1
,,,England,,,3,,189326,,,,,38,15,M. Smith,,,8,Fly Half,9.0,,,,,1
,,,Italy,,,1,,236606,,,,,25,73,L. Marin,2,,8,Fly Half,9.0,,1,,,1
,,,Wales,1,,,,249307,,,,,,52,E. Mee,,,6,Back Three,8.0,,9,,,1
,,,Scotland,,,1,,153489,,,,,18,80,H. Jones,1,,7,Centre,7.0,,2,,,1
,,,Ireland,1,,,,107434,,,,,15,50,T. O'Brien,,,6,Back Three,7.0,,7,,,1
,,,Ireland,,,,,100659,,,,,23,30,J. Crowley,,,8,Fly Half,6.0,,4,,,1
,,,Scotland,,,2,,243508,,,,,20,80,T. Jordan,,,7,Centre,6.0,,,,,1
,,,England,1,,,,177559,,2,,,13,67,A. Mitchell,,,9,Scrum Half,6.0,,2,,,1
,,,France,,,,,249797,,,,,18,30,K. Gourgues,1,,7,Centre,6.0,,3,,,1
,,,France,,,2,,138386,,,,,22,6,B. Serin,,,9,Scrum Half,6.0,,,,,1
,,,Wales,,,2,,103056,,,,,4,28,M. Grady,,,7,Centre,6.0,,2,,,1
,,,Italy,,,,,236573,,1,,,,19,A. Garbisi,,,9,Scrum Half,5.0,,3,,,1
,,,Ireland,,,,,118531,,,,,1,18,R. Kelleher,,,13,Hooker,4.0,,4,,,1
,,,England,,,,,239634,,,,,21,15,H. Pollock,,,10,Back Row,3.0,,1,,,1
,,,England,,,,,111662,,,,,2,13,B. Spencer,,,9,Scrum Half,3.0,,3,,,1
,,,Italy,,,,,236609,,,,,,7,L. Pani,,,6,Back Three,2.0,,2,,,1
,,,Scotland,,,,,164150,,,,,1,31,D. Graham,,,6,Back Three,1.0,,1,,,1
,,,Ireland,,,,,105642,,,,,,7,C. Casey,,,9,Scrum Half,1.0,,1,,,1
,,1,England,1,,,,155409,,,,,1,18,M. Itoje,,,11,Second Row,,,1,,1,1
,,,Wales,2,,1,,225777,,,,,4,70,B. Thomas,,,7,Centre,,,5,,1,1
,,,Ireland,,,,,115762,,,,,3,21,F. Bealham,,,12,Prop,,,,,,1
,,,Wales,,,,,190215,,,,,,1,K. Hardy,,,9,Scrum Half,,,,,,1
,,,Scotland,,,,,221466,,,,,,,B. Kinghorn,,,6,Back Three,,,,,,1
,,,Ireland,,,,,109852,,,,,,,J. Lowe,,,6,Back Three,,,,,,1
,,,England,,,,,137626,,,,,,,F. Smith,,,8,Fly Half,,,,,,1
,,,Ireland,,,,,175150,,,,,,,R. Baloucoune,,,6,Back Three,,,,,,1
,,,England,,,,,131724,,,,,,,O. Lawrence,,,7,Centre,,,,,,1
,,,Italy,,,,,120989,,,,,,,A. Capuozzo,,,6,Back Three,,,,,,1
,,,France,,,,,237225,,,,,,,E. Gailleton,,,7,Centre,,,,,,1
,,,Wales,,,,,214124,,,,,,,J. Botham,,,10,Back Row,,,,,,1
,,,Ireland,,,,,157406,,,,,,,B. Aki,,,7,Centre,,,,,,1
,,,Ireland,,,,,113444,,,,,,,T. Furlong,,,12,Prop,,,,,,1
,,,France,,,,,100043,,,,,,,M. Lucu,,,9,Scrum Half,,,,,,1
,,,Italy,,,,,130282,,,,,,,T. Allan,,,8,Fly Half,,,,,,1
,,,France,,,,,176585,,,,,,,T. Flament,,,11,Second Row,,,,,,1
,,,England,,,,,240631,,,,,,,C. Cunningham-South,,,10,Back Row,,,,,,1
,,,Wales,,,,,243190,,,,,,,B. Murray,,,6,Back Three,,,,,,1
,,,Ireland,,,,,145361,,,,,,,H. Keenan,,,6,Back Three,,,,,,1
,,,Italy,,,,,136875,,,,,,,G. Lucchesi,,,13,Hooker,,,,,,1
,,,France,,,,,182885,,,,,,,P. Barassi,,,7,Centre,,,,,,1
,,,France,,,,,250067,,,,,,,F. Brau-Boirie,,,7,Centre,,,,,,1
,,,Scotland,,,,,100192,,,,,,,J. Bayliss,,,10,Back Row,,,,,,1
,,,Wales,,,,,218331,,,,,,,J. Evans,,,8,Fly Half,,,,,,1
,,,England,,,,,110793,,,,,,,C. Murley,,,6,Back Three,,,,,,1
,,,England,,,,,113737,,,,,,,J. van Poortvliet,,,9,Scrum Half,,,,,,1
,,,Ireland,,,,,224426,,,,,,,T. O'Toole,,,12,Prop,,,,,,1
