Assists,Attacking scrum win,Average points,Breakdown steal,Club,Conceded penalty,Conversion,Defenders beaten,Drop goal,ID,Kick 50-22,Kicks recovered,Lineout steal,Man of the match,Matches played,Metres carried,Name,Offloads,Penalty,Position,Position Name,Red cards ,Tackles,Try,Yellow cards
,7,31.0,,France,,,3,,244767,,,,,1,17,O. Jegou,1,,10,Back Row,,15,,
,7,30.0,,France,,,1,,175065,,,,,1,5,A. Jelonch,2,,10,Back Row,,17,,
,6,44.0,1,Italy,1,,4,,197335,,,,,1,50,L. Cannone,1,,10,Back Row,,19,,
,6,31.0,,Italy,1,,,,208272,,,,,1,4,N. Cannone,,,11,Second Row,,26,,
,5,50.0,,England,1,,3,,209612,,,,,1,69,B. Earl,1,,10,Back Row,,17,1,
,5,40.0,,Scotland,,,4,,113000,,,,,1,44,J. Dempsey,,,10,Back Row,,8,1,
,5,32.0,,England,1,,2,,112684,,,1,,1,11,G. Pepper,1,,10,Back Row,,14,,
,5,30.0,,England,1,,,,144635,,,1,,1,41,O. Chessum,1,,11,Second Row,,13,,
,5,10.0,,France,,,,,111408,,,,,1,7,F. Cros,,,10,Back Row,,5,,
,5,9.0,,Scotland,,,,,210801,,,,,1,,S. Cummings,,,11,Second Row,,4,,
1,4,42.0,,France,,,3,,177800,,,,1,1,43,M. Guillard,1,,11,Second Row,,7,,
1,4,39.0,3,Ireland,,,,,147486,,,,,1,12,T. Beirne,,,11,Second Row,,15,,
1,4,37.0,,Italy,1,,,,120191,,,2,,1,1,M. Lamaro,,,10,Back Row,,16,,
,4,34.0,1,Ireland,,,3,,167132,,,,,1,29,C. Doris,1,,10,Back Row,,15,,
,4,32.0,,Italy,2,,2,,161390,,,1,,1,4,M. Zuliani,,,10,Back Row,,19,,
,4,30.0,,Italy,,,,,128750,,,1,,1,2,A. Zambonin,,,11,Second Row,,19,,
,4,23.0,,France,,,,,198942,,,,,1,22,C. Ollivon,,,10,Back Row,,2,1,
,4,22.0,2,Scotland,,,1,,187820,,,,,1,3,R. Darge,1,,10,Back Row,,4,,
,4,22.0,,England,,,,,173801,,,1,,1,10,A. Coles,,,11,Second Row,,10,,
,4,14.0,,Scotland,,,,,222920,,,1,,1,2,G. Brown,,,11,Second Row,,3,,
,4,14.0,,Ireland,1,,,,174268,,,,,1,,J. Loughman,,,12,Prop,,11,,
,4,13.0,,Ireland,,,2,,211240,,,,,1,12,D. Sheehan,,,13,Hooker,,4,,
,4,13.0,,Italy,,,1,,174208,,,,,1,3,R. Favretto,,,11,Second Row,,3,,
,4,12.0,,France,,,1,,150335,,,,,1,4,J. Marchand,,,13,Hooker,,6,,
,4,12.0,,England,,,,,160801,,,,,1,1,J. George,,,13,Hooker,,8,,
,4,12.0,,Italy,1,,,,236602,,,,,1,5,T. di Bartolomeo,,,13,Hooker,,9,,
,4,10.0,,England,1,,,,104322,,,,,1,,S. Underhill,,,10,Back Row,,7,,
,4,9.0,,England,,,,,134796,,,,,1,,J. Heyes,,,12,Prop,,5,,
,4,9.0,,France,,,,,104627,,,,,1,4,J. Gros,,,12,Prop,,5,,
,4,8.0,,Ireland,1,,,,196853,,,,,1,2,T. Clarkson,,,12,Prop,,5,,
,4,7.0,,Italy,2,,,,172284,,,,,1,1,M. Hasa,,,12,Prop,,5,,
,4,6.0,,France,1,,1,,158534,,,,,1,,D. Aldegheri,,,12,Prop,,1,,
,4,5.0,,Italy,,,,,237231,,,,,1,,M. Spagnolo,,,12,Prop,,1,,
,3,24.0,,Wales,1,,5,,119132,,,,,1,33,A. Wainwright,,,10,Back Row,,9,,
,3,20.0,1,France,,,,,117303,,,,,1,4,P. Mauvaka,1,,13,Hooker,,10,,
,3,18.0,,France,,,,,239229,,,1,,1,17,H. Auradou,,,11,Second Row,,7,,
,3,18.0,1,France,,,,,166457,,,,,1,5,R. Montagne,,,12,Prop,,10,,
,3,14.0,,Wales,3,,,,237272,,,,,1,3,D. Jenkins,,,11,Second Row,,14,,
,3,11.0,,England,2,,1,,165007,,,,,1,6,E. Genge,,,12,Prop,,8,,
,3,11.0,,France,1,,,,134112,,,,,1,,E. Meafou,1,,11,Second Row,,7,,
,3,6.0,,Scotland,,,,,214265,,,,,1,,N. McBeth,,,12,Prop,,3,,
,3,5.0,,France,,,,,175146,,,,,1,,R. Neti,,,12,Prop,,2,,
,3,3.0,,Scotland,,,,,236957,,,,,1,,M. Williamson,,,11,Second Row,,,,
,3,3.0,,Scotland,2,,1,,175403,,,,,1,3,E. Millar-Mills,,,12,Prop,,,,
,3,-2.0,,Scotland,1,,,,218848,,,,,1,3,G. Turner,,,13,Hooker,,1,,1
,2,33.0,1,Ireland,,,2,,193134,,,,,1,38,N. Timoney,,,10,Back Row,,4,1,
,2,33.0,,Italy,,,,,192476,,,,1,1,,S. Ferrari,,,12,Prop,,16,,
,2,20.0,,Italy,,,,,118165,,,,,1,4,G. Nicotera,1,,13,Hooker,,16,,
,2,19.0,,Italy,4,,2,,123723,,,,,1,13,D. Fischetti,,,12,Prop,,16,,
,2,18.0,1,Wales,1,,,,124858,,,,,1,18,J. Macleod,,,10,Back Row,,11,,
1,2,17.0,,Scotland,1,,1,,159599,,,,,1,14,M. Fagerson,,,10,Back Row,,9,,
,2,17.0,,France,1,,1,,244170,,,,,1,23,L. Nouchi,,,10,Back Row,,12,,
,2,17.0,,England,,,1,,158302,,,,,1,14,B. Rodd,1,,12,Prop,,10,,
,2,15.0,,Ireland,,,,,198565,,,,,1,3,C. Prendergast,,,10,Back Row,,13,,
,2,14.0,,Scotland,1,,1,,141860,,,,,1,13,E. Ashman,1,,13,Hooker,,8,,
,2,14.0,,Ireland,,,,,126800,,,,,1,15,J. van der Flier,,,10,Back Row,,11,,
,2,14.0,,Wales,,,,,105892,,,,,1,11,A. Beard,1,,11,Second Row,,9,,
,2,14.0,,Wales,1,,1,,187169,,,,,1,,A. Griffin,,,12,Prop,,11,,
,2,13.0,,Scotland,2,,1,,196669,,,,,1,11,Z. Fagerson,,,12,Prop,,10,,
,2,12.0,,Ireland,1,,1,,223413,,,,,1,2,J. McCarthy,,,11,Second Row,,9,,
,2,10.0,,Scotland,1,,1,,196773,,,,,1,5,P. Schoeman,,,12,Prop,,7,,
,2,9.0,,Ireland,,,1,,203381,,,,,1,7,J. Ryan,,,11,Second Row,,5,,
,2,8.0,,Italy,1,,,,103440,,,,,1,,F. Ruzza,,,11,Second Row,,2,,
,2,5.0,,Ireland,,,1,,105748,,,,,1,7,J. Conan,,,10,Back Row,,1,,
,2,4.0,,Wales,1,,1,,119955,,,,,1,1,R. Carre,,,12,Prop,,1,,
,2,4.0,,Wales,,,,,137071,,,,,1,,L. Belcher,,,13,Hooker,,2,,
,1,50.0,,England,,,10,,156918,,,,,1,106,T. Freeman,1,,6,Back Three,,8,1,
,1,13.0,,Wales,,,1,,235183,,,,,1,3,A. Mann,,,10,Back Row,,10,,
,1,13.0,,Wales,1,,,,237266,,,,,1,26,H. Deaves,,,10,Back Row,,11,,
,1,6.0,,Wales,1,,,,212902,,,,,1,12,D. Lake,,,13,Hooker,,10,,1
